osm_id,name,name_en,name_si,name_ta,type,operator,lat,lon
61602732,Boossa,Boossa,,,stop,,6.0738123,80.1610723
61602781,Kumarakanda,Kumarakanda,,,station,,6.1124485,80.1242871
87762356,Piyadigama,Piyadigama,,,station,,6.0536503,80.1909694
91029612,Thiranagama,Thiranagama,,,station,,6.1223145,80.1143858
91032773,Colombo Fort,Colombo Fort,,,stop,,6.933429,79.8501417
91036830,Gintota,Gintota,,,station,,6.0606665,80.1793892
92056348,Koralawalla,Koralawalla,,,stop,,6.7584407,79.885868
92057835,Kalutara North,Kalutara North,,,stop,,6.6011889,79.9542714
92058178,Kalutara South,Kalutara South,,,stop,,6.5841279,79.9588324
92058899,Payagala South,Payagala South,,,station,,6.5218897,79.9789255
92124678,Dodanduwa,Dodanduwa,,,station,,6.0981764,80.1328946
92126801,Hikkaduwa,Hikkaduwa,,,stop,,6.1420626,80.1001655
92126866,Seenigama,Seenigama,,,station,,6.1586793,80.094758
92126920,Kahawe,Kahawe,,,station,,6.1831844,80.073997
92128330,Madampagama,Madampagama,,,station,,6.2122769,80.0612425
92128460,Ambalangoda,Ambalangoda,,,stop,,6.2353669,80.055039
92128703,Balapitiya,Balapitiya,,,station,,6.2764631,80.0433723
92128815,Ahungalla,Ahungalla,,,station,,6.3127714,80.0375793
92128871,Kosgoda,Kosgoda,,,station,,6.3385359,80.0294476
92129026,Richmond Hill,Richmond Hill,,,station,,6.0539303,80.2048071
92132195,Secretariat Halt,Secretariat Halt,,,station,Sri Lanka Railways,6.9314456,79.8460198
304322071,Wanawasala,Wanawasala,,,station,,6.9755509,79.8993572
304322081,Kelaniya,Kelaniya,,,stop,,6.961086,79.8944452
338554325,Watagoda,Watagoda,,,station,,6.9688843,80.6528447
338554410,Nanu Oya,Nanu Oya,,,stop,,6.9420041,80.7436944
338556166,Hatton,Hatton,,,stop,,6.893154,80.5979204
347323226,Bujjomuwa,Bujjomuwa,,,station,,7.2731777,80.2106384
347323232,Yaththalgoda,Yaththalgoda,,,station,,7.270437,80.1943101
347323242,Ambepussa Railway Station,Ambepussa Railway Station,,,station,,7.2559962,80.1693049
347323250,Botale,Botale,,,station,,7.2565981,80.1531824
347323266,Ganegoda,Ganegoda,,,stop,,7.21302,80.1051152
347323315,Batuwatta,Batuwatta,,,station,,7.0551005,79.9372147
603033669,Pattipola,Pattipola,,,stop,,6.8558983,80.8306671
603086758,Bandarawela,Bandarawela,,,stop,,6.8290181,80.9875618
619234325,Dematagoda,Dematagoda,,,station,,6.937547,79.8790153
634166497,Ganemulla,Ganemulla,,,stop,,7.0685069,79.96072
636946692,Yagoda,Yagoda,,,stop,,7.0747579,79.9738051
652384045,Angulana,Angulana,,,stop,,6.7988179,79.8725697
665685892,Lunawa,Lunawa,,,stop,,6.7866285,79.8754509
665685930,Moratuwa,Moratuwa,,,stop,,6.7743618,79.881688
892780200,Watawala,Watawala,,,stop,,6.9620154,80.5262607
892780206,Great Western,Great Western,,,station,,6.9572412,80.6891016
897870746,Talawakele,Talawakele,,,station,,6.9400481,80.6609908
1128186658,Kottawa,Kottawa,,,stop,,6.8438175,79.9682745
1128186839,Godagama,Godagama,,,stop,,6.8478621,80.032859
1128186990,Malapalla,Malapalla,,,stop,,6.8440633,79.9750349
1128187926,Cotta Road,Cotta Road,,,station,,6.9133542,79.8845224
1128188042,Kirulapona,Kirulapona,,,station,,6.8830467,79.8828978
1128188061,Homagama Hospital,Homagama Hospital,,,stop,,6.8456887,79.9924059
1128188069,Nawinna,Nawinna,,,station,,6.8528888,79.9178611
1128188241,Homagama,Homagama,,,stop,,6.8456359,80.0042444
1128188513,Avissawella,Avissawella,,,station,,6.954549,80.2070547
1128190078,Nugegoda,Nugegoda,,,stop,,6.8721246,79.8904368
1128190666,Maharagama,Maharagama,,,stop,,6.8480421,79.9272033
1128190754,Narahenpita,Narahenpita,,,station,,6.8969122,79.8780613
1128190833,Watareka,Watareka,,,stop,,6.8432048,80.0598725
1128191192,Puwakpitiya,Puwakpitiya,,,stop,,6.9336967,80.1880406
1128191571,Kosgama,Kosgama,,,station,,6.9406031,80.1372925
1128191687,Waga,Waga,,,station,,6.9013533,80.1276619
1128191760,Meegoda,Meegoda,,,stop,,6.8434719,80.0462565
1128192420,Meegoda,Meegoda,,,stop,,6.8435416,80.0469447
1128192639,Udahamulla,Udahamulla,,,station,,6.8622118,79.9087271
1128192870,Pannipitiya,Pannipitiya,,,stop,,6.847409,79.948894
1128193060,Padukka,Padukka,,,station,,6.8427474,80.0911536
1128193546,Maradana,Maradana,,,stop,,6.9292111,79.8660256
1128194135,Panagoda,Panagoda,,,stop,,6.8469656,80.0190255
1128194191,Baseline Road,Baseline Road,,,station,,6.926363,79.8785882
1137448708,Chilaw,Chilaw,,,station,,7.5757856,79.7909316
1137449047,Manuwangama,Manuwangama,,,station,,7.6006132,79.8274738
1137449199,Kiriyankalli,Kiriyankalli,,,station,,7.7571732,79.8282517
1137449334,Walahapitiya,Walahapitiya,,,station,,7.439463,79.8591858
1137449404,Kudawewa,Kudawewa,,,station,,7.4621812,79.8530119
1137449524,Kakkapalliya,Kakkapalliya,,,station,,7.5328175,79.8227037
1137449545,Noor Nagar,Noor Nagar,,,stop,,8.0359754,79.8398846
1137449657,Madampe,Madampe,,,stop,,7.4969019,79.8414179
1137449691,Mundalama,Mundalama,,,station,,7.7975461,79.8256822
1137449694,Bangadeniya,Bangadeniya,,,station,,7.6272671,79.8286013
1138324718,Pinwatta,Pinwatta,,,station,Sri Lanka Railways,6.6859877,79.9159943
1138324992,Katukurunda,Katukurunda,,,station,,6.5601254,79.9661171
1138325584,Egoda Uyana,Egoda Uyana,,,stop,,6.7429002,79.8915809
1138479649,Induruwa,Induruwa,,,station,,6.3873819,80.0086384
1138479797,Maha Induruwa,Maha Induruwa,,,station,,6.3643888,80.0139361
1138479999,Maggona,Maggona,,,station,,6.5048876,79.9813658
1138480165,Kandegoda,Kandegoda,,,station,,6.2501907,80.0529169
1138480606,Beruwala,Beruwala,,,station,,6.4769437,79.983632
1138481003,Payagala North,Payagala North,,,station,,6.5315528,79.9750435
1138523553,Ahangama,Ahangama,,,stop,,5.9732985,80.3638373
1138562255,Akurala,Akurala,,,station,,6.1920745,80.0647968
1138577561,Rathgama,Rathgama,,,station,,6.09335,80.1401109
1139209103,Telwatte,Telwatte,,,station,,6.169066,80.0888763
1139248016,Matara,Matara,,,stop,,5.9518499,80.5431201
1139248175,Unawatuna,Unawatuna,,,station,,6.0220651,80.2492172
1139271789,Walpola,Walpola,,,stop,,7.0472812,79.9311044
1139279942,Bulugahagoda,Bulugahagoda,,,station,,7.0655794,79.9454477
1140291390,Polgahawela Junction,Polgahawela Junction,,,station,,7.3307027,80.3011647
1140291626,Wilwatta,Wilwatta,,,station,,7.2563223,80.1354324
1140291685,Mirigama,Mirigama,,,station,,7.2425912,80.1265584
1140291692,Alawwa,Alawwa,,,station,SLR,7.2934242,80.2386365
1143313572,Hiriyala,Hiriyala,,,station,,7.6975804,80.3397981
1143313787,Ambanpola,Ambanpola,,,station,,7.9188843,80.2461079
1143313912,Muttetugala,Muttetugala,,,station,,7.4956732,80.3791226
1143313922,Srawasthipura,Srawasthipura,,,station,,8.2987964,80.3769783
1143313926,Wellawa,Wellawa,,,stop,,7.5596868,80.3663769
1143314135,Nailiya,Nailiya,,,station,,7.449891,80.3587223
1143314167,Maho Junction,Maho Junction,,,station,,7.8231561,80.2750922
1143314365,Girambe,Girambe,,,stop,,7.3645822,80.3024624
1143314395,Timbiriyagedara,Timbiriyagedara,,,stop,,7.7812946,80.2977824
1143314565,Talawa,Talawa,,,station,,8.231752,80.348274
1143314621,Kurunegala,Kurunegala,,,stop,,7.4768558,80.3742092
1143314681,Thambuttegama,Thambuttegama,,,station,,8.1543184,80.3038834
1143315265,Pothuhera,Pothuhera,,,station,,7.4198455,80.3274809
1143315296,Anuradhapura New Town,Anuradhapura New Town,,,halt,,8.321327,80.3992715
1143315442,Thalawattegedara,Thalawattegedara,,,station,,7.3878803,80.3016136
1144853746,Mihintale,Mihintale,,,station,,8.3586214,80.5016942
1144860774,Mihintale Junction,Mihintale Junction,,,stop,,8.3592744,80.4186764
1146140491,Thandikulam,Thandikulam,,,station,,8.7782563,80.4850221
1146140887,Parasangaswewa Railway Station,Parasangaswewa Railway Station,,,station,,8.4453692,80.4315165
1146141193,Vavuniya,Vavuniya,,வவுனியா,stop,,8.753872,80.4935748
1146141350,Medawachchiya,Medawachchiya,,,station,,8.5545098,80.4581661
1146591688,Murikandi-Kokavil,Murikandi-Kokavil,,,station,,9.2063495,80.4175742
1146591808,Omanthai,Omanthai,,,stop,,8.8652738,80.5011378
1146591924,Ariviyal Nagar,Ariviyal Nagar,අරිවියල් නගර්,அறிவியல் நகர்,station,,9.3187473,80.4076622
1148494560,Meesalai,Meesalai,,மீசாலை,station,,9.6735961,80.1889621
1148494958,Elephant Pass,Elephant Pass,,ஆனையிறவு,station,,9.5023899,80.4058641
1148494963,Chavakachcheri,Chavakachcheri,,சாவகச்சேரி,station,,9.6571317,80.1584591
1148494997,Kodaikamam,Kodaikamam,,,station,,9.6813106,80.2193279
1148495492,Eluthumadduval,Eluthumadduval,,எழுதுமட்டுவாழ்,station,,9.661095,80.2656514
1148495642,Kachcheri,Kachcheri,,,stop,,9.6625406,80.0287348
1148495879,Jaffna,Jaffna,යාපනය,யாழ்ப்பாணம்,stop,,9.6656214,80.0207926
1148496040,Punkankulam,Punkankulam,,புங்கங்குளம்,station,,9.6593033,80.0382833
1168787852,Mannar,Mannar,,,stop,,8.9712618,79.8936626
1168787880,Pesalai,Pesalai,,,station,,9.0823153,79.8227946
1168788044,Talaimannar,Talaimannar,,தலைமன்னார்,station,,9.1033259,79.7298828
1168900232,Kekirawa,Kekirawa,,,station,,8.0584532,80.5814517
1169246067,Habarana,Habarana,,,station,,8.0573101,80.7695893
1169246212,Galoya Junction Railway Station,Galoya Junction Railway Station,,,station,,8.1377809,80.8658177
1171391608,Agbopura,Agbopura,,,station,,8.3267329,80.9796646
1171391647,Kantale,Kantale,,,station,,8.3562353,81.0062054
1172969921,Trincomalee,Trincomalee,,திருகோணமலை புகையிரத நிலையம்,station,,8.5844138,81.2262012
1172970228,China Bay,China Bay,,,station,,8.556397,81.1904552
1173326087,Polonnaruwa,Polonnaruwa,,,station,,7.9301686,81.0333406
1173326127,Minneriya,Minneriya,,,halt,,8.0653841,80.8947665
1173326289,Hingurakgoda,Hingurakgoda,,,stop,,8.0396028,80.9513898
1173360791,Manampitiya,Manampitiya,,,stop,,7.909711,81.1100829
1173676348,Parakum Uyana,Parakum Uyana,,,halt,,7.9735976,81.0178049
1173695483,Eravur,Eravur,,,station,,7.7855975,81.6044408
1173695522,Valaichchenai,Valaichchenai,,,station,,7.9102735,81.5318574
1175898701,Wattegama,Wattegama,,,station,,7.350651,80.6825578
1175898763,Ihalakotte,Ihalakotte,,,station,,7.2887,80.469259
1175899299,Meegammana,Meegammana,,,stop,,7.3404864,80.6670603
1175899400,Pilimatalawa,Pilimatalawa,,,stop,Sri Lanka Railways,7.2667456,80.5525836
1175899472,Palle Talawinna,Palle Talawinna,,,stop,,7.3379203,80.6415424
1175899816,Uda Talawinna,Uda Talawinna,,,stop,,7.339616,80.6512935
1175900259,Ukuwela,Ukuwela,,,station,,7.4203771,80.634167
1175901018,Balana,Balana,,,station,,7.2667493,80.489353
1175901078,Matale,Matale,,,station,,7.467966,80.6248632
1175901262,Panaliya,Panaliya,,,station,,7.3286016,80.3253063
1175902629,Elwala,Elwala,,,stop,,7.4417016,80.6321682
1175902881,Kadugannawa,Kadugannawa,,,station,,7.2577827,80.5207503
1175903641,Sarasavi Uyana,Sarasavi Uyana,,,stop,,7.259918,80.59656
1175904246,Katugastota,Katugastota,,,station,,7.3304714,80.6329636
1175904396,Kadigamuwa,Kadigamuwa,,,stop,,7.3180165,80.433375
1176188609,Weligalla,Weligalla,,,stop,,7.1893378,80.5930596
1176188739,Koshinna,Koshinna,,,station,,7.2335858,80.5950443
1176188799,Peradeniya Jct.,Peradeniya Jct.,,,stop,,7.2571769,80.5902876
1177231213,Ulapane,Ulapane,,,station,,7.1082827,80.5597211
1177231929,Tembligala,Tembligala,,,halt,,7.1331823,80.559258
1177512170,Galboda,Galboda,,,station,,6.9860278,80.5300581
1177512252,Rozelle,Rozelle,,,station,,6.9348701,80.5587202
1177512876,Ihala Watawala,Ihala Watawala,,,station,,6.9481148,80.542167
1177513749,Inguru Oya,Inguru Oya,,,station,,7.018222,80.5457206
1177732867,Ambewela,Ambewela,,,stop,,6.8774121,80.8144885
1177733101,Perakumpura,Perakumpura,,,stop,,6.9197912,80.7536019
1178458137,Diyatalawa,Diyatalawa,,,stop,,6.8020198,80.9591804
1178458796,Ohiya,Ohiya,,,station,,6.8177121,80.8430198
1178458840,Haputale,Haputale,,,stop,,6.7682444,80.9576349
1178458977,Idalgashinna,Idalgashinna,,,station,,6.7793989,80.8968826
1179883912,Kinigama,Kinigama,,,stop,,6.8298174,81.0058894
1179884206,Ella,Ella,,,stop,,6.8758933,81.0472403
1179884414,Hali-Ela,Hali-Ela,,,station,,6.9539582,81.0334492
1179884454,Demodera,Demodera,,,station,,6.9029362,81.0627711
1179884512,Kithalella,Kithalella,,,stop,,6.8612186,81.043206
1179884631,Uduwara,Uduwara,,,stop,,6.9315996,81.0421975
1179884638,Heeloya,Heeloya,,,stop,,6.8442279,81.025766
1179885154,Badulla,Badulla,,,stop,,6.9799535,81.0597468
1241539413,Laksha Uyana,Laksha Uyana,,,halt,,7.9882828,80.9968624
1473127660,,,,,station,,7.3615637,79.8590908
1606321555,Aluthgama,Aluthgama,,,stop,,6.4323502,80.0004365
1606321633,Aluthgama,Aluthgama,,,stop,,6.4323352,80.0002675
1685297495,Kumbalgama,Kumbalgama,,,station,,5.9636625,80.4096817
1685576493,Midigama,Midigama,,,station,,5.9651656,80.3914881
1728255091,Thampalakamam,Thampalakamam,,,station,,8.498339,81.0953498
1728263431,Ganthalawa,Ganthalawa,,,station,,8.4165855,81.036773
1728263442,Mullipotana,Mullipotana,,,station,,8.4450308,81.0618736
1728286789,Ganewatte,Ganewatte,,,station,,7.6550184,80.3486525
1728286790,Wellawa,Wellawa,,,station,,7.5596275,80.3661793
1728286792,Galgamuwa,Galgamuwa,,,station,,8.0021635,80.2715285
1728294289,Nagollagama,Nagollagama,,,station,,7.7538118,80.314565
1856813120,Girambe,Girambe,,,station,,7.3646496,80.3025304
1862832376,Pinnawala,Pinnawala,,,station,,6.8693009,80.1173053
1880451289,Kalkudah,Kalkudah,,,halt,,7.8966092,81.5538496
1880451301,Punani,Punani,,,stop,,7.9638067,81.3872309
1895581441,Batticaloa,Batticaloa,,,stop,,7.7246613,81.6989197
2078330515,Peradeniya Jct.,Peradeniya Jct.,,,stop,,7.2555349,80.589315
2285196541,Jayanthipura,Jayanthipura,,,halt,,8.0049706,80.9835498
2407528062,Colombo Fort,Colombo Fort,,,stop,,6.933607,79.8507168
2407541253,Colombo Fort,Colombo Fort,,,stop,,6.9336373,79.8507172
2418525046,Weligama Railway Station,Weligama Railway Station,,,stop,,5.9756587,80.4294529
2609096345,Mawilmada,Mawilmada,,,halt,,7.3191816,80.6310223
2609189555,Mahaiyawa,Mahaiyawa,,,stop,,7.3038899,80.6341855
2638007020,Nanu Oya,Nanu Oya,,,stop,,6.9420158,80.7435909
2638161115,Peradeniya Jct.,Peradeniya Jct.,,,stop,,7.2574373,80.5902675
2648621418,Colombo Fort,Colombo Fort,,,stop,,6.9330786,79.8500484
2648621421,Colombo Fort,Colombo Fort,,,stop,,6.933171,79.8501117
2648621423,Colombo Fort,Colombo Fort,,,stop,,6.9332057,79.8501155
2648621425,Colombo Fort,Colombo Fort,,,stop,,6.9332985,79.8501276
2648621427,Colombo Fort,Colombo Fort,,,stop,,6.9333315,79.8501288
2648621430,Colombo Fort,Colombo Fort,,,stop,,6.9334603,79.8501407
2648621432,Colombo Fort,Colombo Fort,,,stop,,6.9335444,79.8501412
2648621439,Kelaniya,Kelaniya,,,station,,6.9610592,79.8944725
2648621441,Kelaniya,Kelaniya,,,stop,,6.9611077,79.8943892
2648621444,Kelaniya,Kelaniya,,,stop,,6.9611497,79.8943064
